feature,importance
OverallQual,0.5426750139687603
GrLivArea,0.11553968069248509
TotalBsmtSF,0.043667410179768815
GarageCars,0.040638759228837674
GarageArea,0.024928865325408597
BsmtFinSF1,0.021703333350204614
1stFlrSF,0.018668337108611502
YearBuilt,0.015119438404805305
LotArea,0.014225932472679219
OverallCond,0.009527586360547076
YearRemodAdd,0.009252323096244007
CentralAir_N,0.008832855250562318
2ndFlrSF,0.007300035022908926
CentralAir_Y,0.007016426228866967
OpenPorchSF,0.0057003355266101305
LotFrontage,0.005589585705411884
BsmtUnfSF,0.00542552273067016
GarageType_Detchd,0.004745205955596523
BsmtQual_Ex,0.004208918117685936
Id,0.004083318298802405
GarageYrBlt,0.0038905798698655202
WoodDeckSF,0.0035170837311568975
MoSold,0.0032125996709841047
BsmtQual_Gd,0.0030168811287015003
FireplaceQu_Missing,0.0029696666168127993
Fireplaces,0.0024807138936690726
GarageType_Attchd,0.002404202019407106
TotRmsAbvGrd,0.002395511899626014
MasVnrArea,0.0022022401038207665
MSZoning_RM,0.0021934710604685713
MSSubClass,0.0020044131837219986
GarageFinish_Unf,0.0019172190853539886
BedroomAbvGr,0.0016254664886844834
KitchenAbvGr,0.0015986780320501463
EnclosedPorch,0.001516361589960294
YrSold,0.0014735173357113428
HeatingQC_Fa,0.0012217365880464555
LotShape_Reg,0.0011701064075800842
PavedDrive_N,0.0011600223401270558
BsmtExposure_Gd,0.001154984121574142
BsmtFullBath,0.0010053037537745403
KitchenQual_Gd,0.0009171082204560766
FullBath,0.0008911004029107641
Functional_Typ,0.0008267545379028693
MSZoning_RL,0.0008108876955991988
Neighborhood_OldTown,0.0008102559540474657
Neighborhood_Edwards,0.0008063206784398384
Fence_GdWo,0.0007930184477375823
GarageQual_TA,0.0007361543218055989
HalfBath,0.0007351112437467479
BsmtExposure_No,0.0007341915573593207
KitchenQual_TA,0.0007164162393894712
MSZoning_C (all),0.0006882024613118993
ExterQual_Ex,0.0006877341977671812
Neighborhood_Crawfor,0.0006704709011257756
GarageCond_TA,0.0006685971403456279
ScreenPorch,0.0006666892424644663
HeatingQC_Ex,0.0006458956896594621
Exterior2nd_VinylSd,0.0006414053876861571
LandContour_Bnk,0.0006196386524265924
ExterQual_TA,0.0006060434857055319
LandContour_Lvl,0.0005948594345603824
BsmtFinType1_GLQ,0.0005697744347255241
Alley_Missing,0.000563897774537305
HeatingQC_TA,0.0005637692234478766
SaleCondition_Family,0.000558574956676188
BsmtCond_TA,0.0005394980409730956
BsmtCond_Fa,0.0004953133842751064
ExterCond_TA,0.0004899097925516755
FireplaceQu_Gd,0.0004739904641619442
KitchenQual_Ex,0.00047370493605920067
SaleCondition_Abnorml,0.00046132013284812116
GarageFinish_Fin,0.00045561130018241633
SaleCondition_Normal,0.00045468300247194083
Electrical_SBrkr,0.00044499144882395554
Fence_Missing,0.00044449201251783974
ExterCond_Fa,0.00043897352809349455
HouseStyle_1.5Fin,0.0004301079042399191
LotConfig_Inside,0.00042468573771575876
ExterQual_Gd,0.0004197479817393435
BsmtQual_TA,0.0004089262793421107
BsmtFinSF2,0.000407784330308678
GarageFinish_RFn,0.000399969019188733
Foundation_PConc,0.00039378822570350586
ExterCond_Gd,0.0003935294276238706
Foundation_CBlock,0.0003764785650796506
